Document Title,Authors,Publication Year,DOI,PDF Link,Keywords,Abstract,Venue
"""Spline curve matching with sparse knot sets: applications to deformable shape detection and recognition""",Sang-Mook Lee; A. L. Abbott; N. A. Clark; P. A. Araman;,2003,10.1109/IECON.2003.1280334,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1280334,;,"""Splines can be used to approximate noisy data with a few control points. This paper presents a new curve matching method for deformable shapes using two-dimensional splines. In contrast to the residual error criterion [F.S. Cohen et al., 1992], which is based on relative locations of corresponding knot points such that is reliable primarily for dense point sets, we use deformation energy of thin-plate-spline mapping between sparse knot points and normalized local curvature information. This method has been tested successfully for the detection and recognition of deformable shapes.""",IECON'03. 29th Annual Conference of the IEEE Industrial Electronics Society (IEEE Cat. No.03CH37468)
"""Weighted Collaborative Sparse and L1/2 Low-Rank Regularizations With Superpixel Segmentation for Hyperspectral Unmixing""",L. Sun; F. Wu; C. He; T. Zhan; W. Liu; D. Zhang;,2022,10.1109/LGRS.2020.3019427,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9186305,Sparse unmixing;superpixel;weighted collaborative sparse;L₁̷₂ low-rank regularization;,"""In this letter, using the sparse unmixing framework, a weighted collaborative sparse and  $L_{1/2}$  low-rank regularization with superpixel segmentation method is proposed for hyperspectral unmixing. The method outlined here first uses superpixel segmentation to obtain local homogeneous regions. The reason for this approach is that the shape and size of superpixels are adaptive, which are better for obtaining homogeneous regions than square patches. Next, the weighted collaborative sparse term and  $L_{1/2}$  low-rank regularization were utilized to exploit the spatial and spectral correlation of each superpixel. In addition, the smoothness between adjacent pixels is enforced by total variation regularization. Finally, the proposed method and several state-of-the-art methods were tested on two simulated data sets and two real data sets. The results demonstrate the superiority of the method proposed here.""",IEEE Geoscience and Remote Sensing Letters
"""TileSpMV: A Tiled Algorithm for Sparse Matrix-Vector Multiplication on GPUs""",Y. Niu; Z. Lu; M. Dong; Z. Jin; W. Liu; G. Tan;,2021,10.1109/IPDPS49936.2021.00016,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9460505,sparse matrix-vector multiplication;tiling;GPU;,"""With the extensive use of GPUs in modern supercomputers, accelerating sparse matrix-vector multiplication (SpMV) on GPUs received much attention in the last couple of decades. A number of techniques, such as increasing utilization of wide vector units, reducing load imbalance and selecting the best formats, have been developed. However, the 2D spatial sparsity structure has not been well exploited in the existing work for SpMV on GPUs. In this paper, we propose an efficient tiled algorithm called TileSpMV for optimizing SpMV on GPUs through exploiting 2D spatial structure of sparse matrices. We first implement seven warp-level SpMV methods for calculating sparse tiles stored in a variety of formats, and then design a selection method to find the best format and SpMV implementation for each tile. We also adaptively extract nonzeros in the very sparse tiles into a separate matrix to maximize the overall performance. The experimental results show that our method is faster than state-of-the-art SpMV methods such as Merge-SpMV, CSR5 and BSR in most matrices of the full SuiteSparse Matrix Collection and delivers up to 2.61x, 3.96x and 426.59x speedups, respectively.""",2021 IEEE International Parallel and Distributed Processing Symposium (IPDPS)
"""Enhanced Weighted Method for Test Case Prioritization in Regression Testing Using Unique Priority Value""",A. Ammar; S. Baharom; A. A. A. Ghani; J. Din;,2016,10.1109/ICISSEC.2016.7885851,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7885851,;,"""Regression testing is an integral and expensive part in software testing. To reduce its effort, test case prioritization approaches were proposed. The problem with most of the existing approaches is the random ranking of test cases with equal weight. In this paper, an enhanced weighted method to prioritize the full test suite without using random ranking is presented. In addition, a controlled experiment was executed to evaluate the effectiveness of the proposed method. The results show an improved performance in terms of prioritizing test cases and recording higher APFD values over the original weighted method. In future, a larger experiment would be executed to generalize the results.""",2016 International Conference on Information Science and Security (ICISS)
"""A fast Pascal program for the product of large sparse matrices on personal computers""",A. Agnifili; P. Di Felice;,1990,10.1109/SOAC.1990.82192,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=82192,;,"""An implementation of a slight variation of the near optimal Gustavson's algorithm (1978) for the product of sparse matrices is given. Special care is devoted to the selection of data structures. The result is an elegant and very fast code specifically tailored for running on personal computers. An analysis is conducted of the X=X*Y problem in order to design the best compact representation for matrices X and Y. The code is briefly described, and test cases are presented.<>""",Proceedings of the 1990 Symposium on Applied Computing
"""Large-Scale Multiobjective Static Test Generation for Web-Based Testing with Integer Programming""",M. Luan Nguyen; S. Cheung Hui; A. C.M. Fong;,2013,10.1109/TLT.2012.22,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6365621,Testing;Linear programming;Web and internet services;Runtime;Sparse matrices;Integer linear programming;Computer aided instruction;Online services;Web-based testing;Testing;Linear programming;Web and internet services;Runtime;Sparse matrices;Integer linear programming;Computer aided instruction;Online services;static test generation;Testing;Linear programming;Web and internet services;Runtime;Sparse matrices;Integer linear programming;Computer aided instruction;Online services;multiobjective optimization;Testing;Linear programming;Web and internet services;Runtime;Sparse matrices;Integer linear programming;Computer aided instruction;Online services;integer programming;,"""Web-based testing has become a ubiquitous self-assessment method for online learning. One useful feature that is missing from today's web-based testing systems is the reliable capability to fulfill different assessment requirements of students based on a large-scale question data set. A promising approach for supporting large-scale web-based testing is static test generation (STG), which generates a test paper automatically according to user specification based on multiple assessment criteria. And the generated test paper can then be attempted over the web by users for assessment purpose. Generating high-quality test papers under multiobjective constraints is a challenging task. It is a 0-1 integer linear programming (ILP) that is not only NP-hard but also need to be solved efficiently. Current popular optimization software and heuristic-based intelligent techniques are ineffective for STG, as they generally do not have guarantee for high-quality solutions of solving the large-scale 0-1 ILP of STG. To that end, we propose an efficient ILP approach for STG, called branch-and-cut for static test generation (BAC-STG). Our experimental study on various data sets and a user evaluation on generated test paper quality have shown that the BAC-STG approach is more effective and efficient than the current STG techniques.""",IEEE Transactions on Learning Technologies
"""Tracking Sparse Linear Classifiers""",T. Zhai; F. Koriche; H. Wang; Y. Gao;,2019,10.1109/TNNLS.2018.2877433,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8533616,Concept drift;curse of dimensionality;online linear classification;shifting regret;sparse online learning;,"""In this paper, we investigate the problem of sparse online linear classification in changing environments. We first analyze the tracking performance of standard online linear classifiers, which use gradient descent for minimizing the regularized hinge loss. The derived shifting bounds highlight the importance of choosing appropriate step sizes in the presence of concept drifts. Notably, we show that a better adaptability to concept drifts can be achieved using constant step sizes rather than the state-of-the-art decreasing step sizes. Based on these observations, we then propose a novel sparse approximated linear classifier, called sparse approximated linear classification (SALC), which uses a constant step size. In essence, SALC simply rounds small weights to zero for achieving sparsity and controls the truncation error in a principled way for achieving a low tracking regret. The degree of sparsity obtained by SALC is continuous and can be controlled by a parameter which captures the tradeoff between the sparsity of the model and the regret performance of the algorithm. Experiments on nine stationary data sets show that SALC is superior to the state-of-the-art sparse online learning algorithms, especially when the solution is required to be sparse; on seven groups of nonstationary data sets with various total shifting amounts, SALC also presents a good ability to track drifts. When wrapped with a drift detector, SALC achieves a remarkable tracking performance regardless of the total shifting amount.""",IEEE Transactions on Neural Networks and Learning Systems
"""A Leak in PRNU Based Source Identification—Questioning Fingerprint Uniqueness""",M. Iuliani; M. Fontani; A. Piva;,2021,10.1109/ACCESS.2021.3070478,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9393356,Image processing;image classification;image forensics;source identification;,"""Photo Response Non-Uniformity (PRNU) is considered the most effective trace for the image source attribution task. Its uniqueness ensures that the sensor pattern noises extracted from different cameras are strongly uncorrelated, even when they belong to the same camera model. However, with the advent of computational photography, most recent devices heavily process the acquired pixels, possibly introducing non-unique artifacts that may reduce PRNU noise's distinctiveness, especially when several exemplars of the same device model are involved in the analysis. Considering that PRNU is an image forensic technology that finds actual and wide use by law enforcement agencies worldwide, it is essential to keep validating such technology on recent devices as they appear. In this paper, we perform an extensive testing campaign on over 33.000 Flickr images belonging to 45 smartphone and 25 DSLR camera models released recently to determine how widespread the issue is and which is the plausible cause. Experiments highlight that most brands, like Samsung, Huawei, Canon, Nikon, Fujifilm, Sigma, and Leica, are strongly affected by this issue. We show that the primary cause of high false alarm rates cannot be directly related to specific camera models, firmware, nor image contents. It is evident that the effectiveness of PRNU based source identification on the most recent devices must be reconsidered in light of these results. Therefore, this paper is intended as a call to action for the scientific community rather than a complete treatment of the subject. Moreover, we believe publishing these data is important to raise awareness about a possible issue with PRNU reliability in the law enforcement world.""",IEEE Access
"""State-of-the-Art of Voice Assistance Technology, Mitigating Replay Attacks: A Comprehensive Discussion""",S. Sandosh; R. Saxena; S. Shah; S. S. Rachiraju;,2024,10.1109/ICICV62344.2024.00100,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10511148,Smart home assistants;Replay attacks;Security concerns;Privacy Connectivity;Artificial intelligence;Voice recognition technology;Nonce numbers;Timestamps;Communication protocol;Authentication;Authorization;Freshness;Uniqueness;Attack detection;Unauthorized access;System integrity;Vulnerabilities;Feasibility;Practicality;Implementation;Testing;,"""In recent years, smart home assistants have become increasingly popular among consumers worldwide. These intelligent devices, powered by artificial intelligence and voice recognition technology, Smart home assistants bring convenience and effectiveness to handling daily activities and overseeing different aspects of our residences. Nevertheless, the expanding use of these assistants raises apprehensions regarding security and privacy due to heightened connectivity and data gathering capabilities. The intensity of security threats associated with these devices is alarming. Specifically, security concerns regarding replay attacks have emerged as a critical challenge. While various strategies have been proposed by researchers in this domain, there is a need for more robust mechanisms. This research paper proposes a novel approach to mitigate replay attacks by combining nonce numbers and timestamps. The proposed use of timestamp and nonce number methods in preventing replay attacks in smart home assistants is highly promising. The proposed solution enhances the security of voice commands transmitted between the user and the smart home assistant. By introducing unique nonce numbers and timestamps in the communication protocol, the system effectively detects and prevents the replaying of previously recorded commands.""",2024 5th International Conference on Intelligent Communication Technologies and Virtual Mobile Networks (ICICV)
"""Sparse Matrix-vector Multiplication on GPGPU Clusters: A New Storage Format and a Scalable Implementation""",M. Kreutzer; G. Hager; G. Wellein; H. Fehske; A. Basermann; A. R. Bishop;,2012,10.1109/IPDPSW.2012.211,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6270844,GPGPU;Sparse matrices;CUDA;,"""Sparse matrix-vector multiplication (spMVM) is the dominant operation in many sparse solvers. We investigate performance properties of spMVM with matrices of various sparsity patterns on the nVidia ""Fermi"" class of GPGPUs. A new ""padded jagged diagonals storage"" (pJDS) format is proposed which may substantially reduce the memory overhead intrinsic to the widespread ELLPACK-R scheme while making no assumptions about the matrix structure. In our test scenarios the pJDS format cuts the overall spMVM memory footprint on the GPGPU by up to 70%, and achieves 91% to 130% of the ELLPACK-R performance. Using a suitable performance model we identify performance bottlenecks on the node level that invalidate some types of matrix structures for efficient multi-GPGPU parallelization. For appropriate sparsity patterns we extend previous work on distributed-memory parallel spMVM to demonstrate a scalable hybrid MPI-GPGPU code, achieving efficient overlap of communication and computation.""",2012 IEEE 26th International Parallel and Distributed Processing Symposium Workshops & PhD Forum
"""Demography-based facial retouching detection using subclass supervised sparse autoencoder""",A. Bharati; M. Vatsa; R. Singh; K. W. Bowyer; X. Tong;,2017,10.1109/BTAS.2017.8272732,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8272732,;,"""Digital retouching of face images is becoming more widespread due to the introduction of software packages that automate the task. Several researchers have introduced algorithms to detect whether a face image is original or retouched. However, previous work on this topic has not considered whether or how accuracy of retouching detection varies with the demography of face images. In this paper, we introduce a new Multi-Demographic Retouched Faces (MDRF) dataset, which contains images belonging to two genders, male and female, and three ethnicities, Indian, Chinese, and Caucasian. Further, retouched images are created using two different retouching software packages. The second major contribution of this research is a novel semi-supervised autoencoder incorporating “sub-class” information to improve classification. The proposed approach outperforms existing state-of-the-art detection algorithms for the task of generalized retouching detection. Experiments conducted with multiple combinations of ethnicities show that accuracy of retouching detection can vary greatly based on the demographics of the training and testing images.""",2017 IEEE International Joint Conference on Biometrics (IJCB)
"""A 16-channel Readout Chip - A new sparse data readout architecture""",P. Murray; M. Lovell;,1992,10.1109/ESSCIRC.1992.5468222,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5468222,;,"""This paper describes a new architecture for performing data compression on a large matrix of parallel digital inputs, only a small proportion of which carries a logical 'I'. The system assigns a unique address to each of the active inputs (suppressing the inactive ones) and feeds them serially onto a data bus. The architecture is implemented using an array of CMOS digital signal processing ASICs, which have been designed at R.A.L, England and tested at C.E.R.N. in Geneva.""",ESSCIRC '92: Eighteenth European Solid-State Circuits conference
"""Processor Hardware Security Vulnerabilities and their Detection by Unique Program Execution Checking""",M. R. Fadiheh; D. Stoffel; C. Barrett; S. Mitra; W. Kunz;,2019,10.23919/DATE.2019.8715004,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8715004,;,"""Recent discovery of security attacks in advanced processors, known as Spectre and Meltdown, has resulted in high public alertness about security of hardware. The root cause of these attacks is information leakage across covert channels that reveal secret data without any explicit information flow between the secret and the attacker. Many sources believe that such covert channels are intrinsic to highly advanced processor architectures based on speculation and out-of-order execution, suggesting that such security risks can be avoided by staying away from high-end processors. This paper, however, shows that the problem is of wider scope: we present new classes of covert channel attacks which are possible in average-complexity processors with in-order pipelining, as they are mainstream in applications ranging from Internet-of-Things to Autonomous Systems. We present a new approach as a foundation for remedy against covert channels: while all previous attacks were found by clever thinking of human attackers, this paper presents a formal method called Unique Program Execution Checking which detects and locates vulnerabilities to covert channels systematically, including those to covert channels unknown so far.""","2019 Design, Automation & Test in Europe Conference & Exhibition (DATE)"
"""Continual Multiview Task Learning via Deep Matrix Factorization""",G. Sun; Y. Cong; Y. Zhang; G. Zhao; Y. Fu;,2021,10.1109/TNNLS.2020.2977497,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9037204,Deep matrix factorization;lifelong machine learning;multiview learning;sparse subspace learning;,"""The state-of-the-art multitask multiview (MTMV) learning tackles a scenario where multiple tasks are related to each other via multiple shared feature views. However, in many real-world scenarios where a sequence of the multiview task comes, the higher storage requirement and computational cost of retraining previous tasks with MTMV models have presented a formidable challenge for this lifelong learning scenario. To address this challenge, in this article, we propose a new continual multiview task learning model that integrates deep matrix factorization and sparse subspace learning in a unified framework, which is termed deep continual multiview task learning (DCMvTL). More specifically, as a new multiview task arrives, DCMvTL first adopts a deep matrix factorization technique to capture hidden and hierarchical representations for this new coming multiview task while accumulating the fresh multiview knowledge in a layerwise manner. Then, a sparse subspace learning model is employed for the extracted factors at each layer and further reveals cross-view correlations via a self-expressive constraint. For model optimization, we derive a general multiview learning formulation when a new multiview task comes and apply an alternating minimization strategy to achieve lifelong learning. Extensive experiments on benchmark data sets demonstrate the effectiveness of our proposed DCMvTL model compared with the existing state-of-the-art MTMV and lifelong multiview task learning models.""",IEEE Transactions on Neural Networks and Learning Systems
"""WaSP: Hierarchical Warping, Merging, and Sparse Prediction for Light Field Image Compression""",P. Astola; I. Tabus;,2018,10.1109/EUVIP.2018.8611756,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8611756,;,"""We propose a versatile light field compression scheme that is organized on hierarchical levels, where all views belonging to a particular level are encoded using several views already encoded in the previous hierarchical levels. The new scheme builds on an earlier version of our codec, and provides a more generalized functionality with improved view merging. The operations needed when one view is encoded conditional on its reference views are: first warping its reference views to the location of the current view and partitioning the pixels according to their state of occlusion in various warped versions; then merging the warped references using one optimal LS merger for each class of occluded pixels; finally, adjustment of the overall merged image to the original view by using a sparse predictor. The new scheme is applied to both plenoptic camera images and high density camera array data, and is evaluated in accordance with the JPEG Pleno test conditions. We compare the performance of the proposed codec to that of the HEVC anchors defined in the JPEG Pleno test conditions. We also make comparisons to the performance achieved by our earlier scheme. The proposed codec is publicly available on GitHub and it was accepted as the Verification Model (VM) 1.0 software for JPEG Pleno Light Field coding standard.""",2018 7th European Workshop on Visual Information Processing (EUVIP)
"""Efficient Solving of Markov Decision Processes on GPUs Using Parallelized Sparse Matrices""",A. Sapio; S. S. Bhattacharyya; M. Wolf;,2018,10.1109/DASIP.2018.8596969,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8596969,Markov decision processes;MDP;GPU;CUDA;Value iteration;Sparsity;,"""Markov Decision Processes (MDPs) provide important capabilities for facilitating the dynamic adaptation of hardware and software configurations to the environments in which they operate. However, the use of MDPs in embedded signal processing systems is limited because of the large computational demands for solving this class of system models. This paper presents Sparse Parallel Value Iteration (SPVI), a new algorithm for solving large MDPs on resource-constrained embedded systems that are equipped with mobile GPUs. SPVI leverages recent advances in parallel solving of MDPs and adds sparse linear algebra techniques to significantly outperform the state-of-the-art. The method and its application are described in detail, and demonstrated with case studies that are implemented on an NVIDIA Tegra K1 System On Chip (SoC). The experimental results show execution time improvements in the range of 65 % -78% for several applications. SPVI also lifts restrictions required by other MDP solver approaches, making it more widely compatible with large classes of optimization problems.""",2018 Conference on Design and Architectures for Signal and Image Processing (DASIP)
"""Synthesis of a specific wavefront using 2D full and sparse arrays""",D. Cassereau; N. Chakrovun; F. Wu; M. Fink; F. Datchi;,1992,10.1109/ULTSYM.1992.275944,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=275944,;,"""A new application of the time-reversal approach is proposed, i.e., the synthesis of a specific wavefront (plane and short wavefront) in the near-field domain of a transducer array. The theoretical background for computing the temporal excitation signals that must be emitted on the different channels of the array is presented. The efficiency of this approach is illustrated with two kinds of transducer arrays: a full and periodic array containing 1024 elements and a sparse array made of 128 elements. These results are obtained through numerical software; they prove that it is theoretically possible to create any desired wavefront shape if the array contains enough independent elements. Experimental results obtained with a real sparse array are presented.<>""",IEEE 1992 Ultrasonics Symposium Proceedings
"""3D Ear Identification Using Block-Wise Statistics-Based Features and LC-KSVD""",L. Zhang; L. Li; H. Li; M. Yang;,2016,10.1109/TMM.2016.2566578,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7467559,3D ear;dictionary learning;label consistent K-SVD (LC-KSVD);sparse coding;surface types;,"""Biometrics authentication has been corroborated to be an effective method for recognizing a person's identity with high confidence. In this field, the use of three-dimensional (3D) ear shape is a recent trend. As a biometric identifier, the ear has several inherent merits. However, although a great deal of efforts have been devoted, there is still large room for improvement in developing a highly effective and efficient 3D ear identification approach. In this paper, we attempt to fill this gap to some extent by proposing a novel 3D ear classification scheme that makes use of the label consistent K-SVD (LC-KSVD) framework. As an effective supervised dictionary learning algorithm, LC-KSVD learns a single compact discriminative dictionary for sparse coding and a multi-class linear classifier simultaneously. To use the LC-KSVD framework, one key issue is how to extract feature vectors from 3D ear scans. To this end, we propose a blockwise statistics-based feature extraction scheme. Specifically, we divide a 3D ear region of interest into uniform blocks and extract a histogram of surface types from each block; histograms from all blocks are then concatenated to form the desired feature vector. Feature vectors extracted in this way are highly discriminative and are robust to mere misalignment between samples. Experiments demonstrate that our approach can achieve better recognition accuracy than the other state-of-the-art methods. More importantly, its computational complexity is extremely low, making it quite suitable for the large-scale identification applications. MATLAB source codes are publicly online available at http://sse.tongji.edu.cn/linzhang/LCKSVDEar/LCKSVDEar. htm.""",IEEE Transactions on Multimedia
"""Hardware accelerator for analytics of sparse data""",E. Nurvitadhi; A. Mishra; Y. Wang; G. Venkatesh; D. Marr;,2016,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7459571,Hardware accelerator;analytics;machine learning;,"""Rapid growth of Internet led to web applications that produce large unstructured sparse datasets (e.g., texts, ratings). Machine learning (ML) algorithms are the basis for many important analytics workloads that extract knowledge from these datasets. This paper characterizes such workloads on a high-end server for real-world datasets and shows that a set of sparse matrix operations dominates runtime. Further, they run inefficiently due to low compute-per-byte and challenging thread scaling behavior. As such, we propose a hardware accelerator to perform these operations with extreme efficiency. Simulations and RTL synthesis to 14nm ASIC demonstrate significant performance and performance/Watt improvements over conventional processors, with only a small area overhead.""","2016 Design, Automation & Test in Europe Conference & Exhibition (DATE)"
"""Sparse Measurement Algorithm Execution Time Prediction on Heterogeneous Edge Devices for Early Stage Software-Hardware Matching""",B. Rupprecht; B. Vogel-Heuser; J. Möhrle; D. Hujo; Y. Wang;,2024,10.1109/ICPS59941.2024.10640034,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10640034,Execution time modeling;execution time prediction;performance benchmarking;software-hardware matching;edge devices;,"""The design and implementation of edge computing solutions needs elaborate knowledge about the inter-dependencies of software and hardware, which are also often developed parallel to meet performance requirements like time constraints. However, the suitability of hardware to execute a given algorithm and vice versa is often assessed by time-consuming trial-and-error approaches. For algorithm assessment, the execution time is crucial. However, existing execution time estimation approaches usually rely on either thorough timing models for the underlying hardware or vast amounts of measurements. Consequently, these approaches are not feasible for an early design stage, where an assessment with limited effort is crucial. Thus, this paper tries to overcome those limitations by comparing a parametric and a non-parametric execution time prediction approach suitable for an early design stage. The evaluation with four edge devices out of heterogeneous categories using measured data is a first attempt at generalizability. A selection of four different algorithms applicable in smart manufacturing and benchmarking ensures the approaches’ broad applicability. The parametric and non-parametric model comparison shows the trade-off between source code analysis and performing measurements.""",2024 IEEE 7th International Conference on Industrial Cyber-Physical Systems (ICPS)
"""Sparse Support Vector Machines with L_{p} Penalty for Biomarker Identification""",Z. Liu; S. Lin; M. Tan;,2010,10.1109/TCBB.2008.17,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4459304,Embedded method;feature selection;L_{p} regularization;SVM;SNP data analysis;protease data analysis.;J.3.a Biology and genetics;I.5.2.b Feature evaluation and selection;I.5.2.c Pattern analysis;I.5.4.h Medicine;,"""The development of high-throughput technology has generated a massive amount of high-dimensional data, and many of them are of discrete type. Robust and efficient learning algorithms such as LASSO [1] are required for feature selection and overfitting control. However, most feature selection algorithms are only applicable to the continuous data type. In this paper, we propose a novel method for sparse support vector machines (SVMs) with L_{p} (p ≪ 1) regularization. Efficient algorithms (LpSVM) are developed for learning the classifier that is applicable to high-dimensional data sets with both discrete and continuous data types. The regularization parameters are estimated through maximizing the area under the ROC curve (AUC) of the cross-validation data. Experimental results on protein sequence and SNP data attest to the accuracy, sparsity, and efficiency of the proposed algorithm. Biomarkers identified with our methods are compared with those from other methods in the literature. The software package in Matlab is available upon request.""",IEEE/ACM Transactions on Computational Biology and Bioinformatics
"""Sparse/DCT (S/DCT) Two-Layered Representation of Prediction Residuals for Video Coding""",J. -W. Kang; M. Gabbouj; C. . -C. J. Kuo;,2013,10.1109/TIP.2013.2256917,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6494295,$rho$ domain rate model;discrete cosine transform (DCT);high efficiency video coding (HEVC);multilayered coding;overcomplete dictionary based video coding;residual coding;sparse representation;,"""In this paper, we propose a cascaded sparse/DCT (S/DCT) two-layer representation of prediction residuals, and implement this idea on top of the state-of-the-art high efficiency video coding (HEVC) standard. First, a dictionary is adaptively trained to contain featured patterns of residual signals so that a high portion of energy in a structured residual can be efficiently coded via sparse coding. It is observed that the sparse representation alone is less effective in the R-D performance due to the side information overhead at higher bit rates. To overcome this problem, the DCT representation is cascaded at the second stage. It is applied to the remaining signal to improve coding efficiency. The two representations successfully complement each other. It is demonstrated by experimental results that the proposed algorithm outperforms the HEVC reference codec HM5.0 in the Common Test Condition.""",IEEE Transactions on Image Processing
"""Application of Sparse Attention Mechanism and Bidirectional GRU Neural Networks in Knowledge Tracing""",J. Wu; G. Wang; Y. Wang;,2023,10.1109/CSECS60003.2023.10428652,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10428652,Knowledge Tracing;Deep learning;Sparse attention. bidirectional Gated Recurrent Units. RMSNorm;,"""To overcome the limitations of traditional deep knowledge tracing models, particularly in capturing complex exercise relationships and handling long data sequences, we introduce SKT-BiGRU. This optimized model combines bidirectional Gated Recurrent Units (BiGRU), sparse attention, and RMSNorm. It first translates a learner's historical interactions into real-valued vectors for more accurate trajectory modeling. The sparse attention mechanism boosts computational efficiency and interpretability, allowing focus on critical data points for prediction. RMSNorm normalizes the neural network's outputs, improving training stability and convergence speed. The model effectively captures intricate exercise dependencies through self-attention and sparse attention. These hidden states and attention weights are combined with the bidirectional GRU output to predict a learner's performance on upcoming questions.Experimental tests carried out on two public datasets have confirmed that SKT-BiGRU, in comparison to the baseline model, exhibits an improvement in its AUC (Area Under the Curve) metrics ranging from 3.5% to 6.1%, and an increase in ACC (Accuracy) from 0.4% to 3.2%. These results demonstrate its effectiveness in augmenting deep knowledge tracing.""",2023 6th International Conference on Software Engineering and Computer Science (CSECS)
"""A Nonvolatile Associative Memory-Based Context-Driven Search Engine Using 90 nm CMOS/MTJ-Hybrid Logic-in-Memory Architecture""",H. Jarollahi; N. Onizawa; V. Gripon; N. Sakimura; T. Sugibayashi; T. Endoh; H. Ohno; T. Hanyu; W. J. Gross;,2014,10.1109/JETCAS.2014.2361061,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6932498,Associative memory;context-driven search;logic-in-memory;magnetic tunnel junction (MTJ);sparse clustered networks;,"""This paper presents algorithm, architecture, and fabrication results of a nonvolatile context-driven search engine that reduces energy consumption as well as computational delay compared to classical hardware and software-based approaches. The proposed architecture stores only associations between items from multiple search fields in the form of binary links, and merges repeated field items to reduce the memory requirements and accesses. The fabricated chip achieves $13.6times$  memory reduction and 89% energy saving compared to a classical field-based approach in hardware, based on content-addressable memory (CAM). Furthermore, it achieves $8.6times$  reduced number of clock cycles in performing search operations compared to the CAM, and five orders of magnitude reduced number of clock cycles compared to a fabricated and measured ultra low-power CPU-based counterpart running a classical search algorithm in software. The energy consumption of the proposed architecture is on average three orders of magnitude smaller than that of a software-based approach. A magnetic tunnel junction (MTJ)-based logic-in-memory architecture is presented that allows simple routing and eliminates leakage current in standby using 90 nm CMOS/MTJ-hybrid technologies.""",IEEE Journal on Emerging and Selected Topics in Circuits and Systems
"""Finite Element Study of Bearing Estimation in the Presence of Underwater Multipath Scenario Using Non-Uniform Linear Array""",P. Gupta; B. Kumar; M. Agrawal; F. Fauziya;,2019,10.1109/OCEANSE.2019.8867182,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8867182,DoA estimation;Noncircular Signals;Sparse array;Virtual Array;Cumulants;Pseudo cumulants;NULA;ULA Higher Order Statistics;Underdetermined System;,"""In this paper we have analyzed the performance of ULA, NULA and virtual array in multipath scenario using sparse Bayesian learning (SBL) and beamforming techniques. Using COMSOL we have generated the impulse response of the environment at the sensors locations. Direction of arrival (DoA) estimation has been done for ULA, NULA and Virtual array for underwater environment. Array performance has been tested in computing software MATLAB. For creating real environment we have used COMSOL, a finite element analysis software. Underwater multipath environment has been created in COMSOL. SBL provide better result as compared to beamforming technique and also NULA and virtual provide better result as compared to ULA for same number of sensors.""",OCEANS 2019 - Marseille
