Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A Docker-based federated learning framework design and deployment for multi-modal data stream classification","Computing","","105","10","10.1007/s00607-023-01179-5","Arijit NandiFatos XhafaRohit Kumar","2023","http://link.springer.com/article/10.1007/s00607-023-01179-5","Article"
"Optimized convolutional neural network for identification of maize leaf diseases with adaptive ageist spider monkey optimization model","International Journal of Information Technology","","15","2","10.1007/s41870-021-00657-3","Shravankumar ArjunagiNagaraj B. Patil","2023","http://link.springer.com/article/10.1007/s41870-021-00657-3","Article"
"Efficient algorithm for error optimization and resource prediction to mitigate cost and energy consumption in a cloud environment","International Journal of Information Technology","","16","4","10.1007/s41870-024-01732-1","Sangeeta SanganiRudragoud PatilR. H. Goudar","2024","http://link.springer.com/article/10.1007/s41870-024-01732-1","Article"
"FedIERF: Federated Incremental Extremely Random Forest for Wearable Health Monitoring","Journal of Computer Science and Technology","","38","5","10.1007/s11390-023-3009-0","Chun-Yu HuLi-Sha HuLin YuanDian-Jie LuLei LyuYi-Qiang Chen","2023","http://link.springer.com/article/10.1007/s11390-023-3009-0","Article"
"GRLMerger: an automatic approach for integrating GRL models","Requirements Engineering","","29","2","10.1007/s00766-024-00413-6","Nadeen AlAmoudiJameleddine HassineMalak Baslyman","2024","http://link.springer.com/article/10.1007/s00766-024-00413-6","Article"
"Multi-criteria recommendation system based on deep matrix factorization and regression techniques","International Journal of Information Technology","","","","10.1007/s41870-024-01780-7","Reetu SinghPragya DwivediPankaj Patidar","2024","http://link.springer.com/article/10.1007/s41870-024-01780-7","Article"
"Why don’t we trace? A study on the barriers to software traceability in practice","Requirements Engineering","","28","4","10.1007/s00766-023-00408-9","Marcela RuizJin Yang HuFabiano Dalpiaz","2023","http://link.springer.com/article/10.1007/s00766-023-00408-9","Article"
"Profiling and clustering the global market for hijabistas: a Twitter text analytics approach","International Journal of Information Technology","","16","4","10.1007/s41870-023-01616-w","Mohamed M. MostafaAlshaimaa Bahgat Alanadoly","2024","http://link.springer.com/article/10.1007/s41870-023-01616-w","Article"
"Identifying “sloppy” users in TMS through operation logs","International Journal of Information Technology","","16","3","10.1007/s41870-023-01489-z","Shaoyang ZhangLian WenGeraldine TorrisiJicheng Li","2024","http://link.springer.com/article/10.1007/s41870-023-01489-z","Article"
"Improving Android app exploratory testing with UI test cases using code change analysis","Innovations in Systems and Software Engineering","","","","10.1007/s11334-024-00555-4","Jacinto ReisAlexandre Mota","2024","http://link.springer.com/article/10.1007/s11334-024-00555-4","Article"
"Algorithm selection for SMT","International Journal on Software Tools for Technology Transfer","","25","2","10.1007/s10009-023-00696-0","Joseph ScottAina NiemetzMathias PreinerSaeed NejatiVijay Ganesh","2023","http://link.springer.com/article/10.1007/s10009-023-00696-0","Article"
"Classical and quantum compression for edge computing: the ubiquitous data dimensionality reduction","Computing","","105","7","10.1007/s00607-023-01154-0","Maryam BagherianSarah ChehadeBen WhitneyAli Passian","2023","http://link.springer.com/article/10.1007/s00607-023-01154-0","Article"
"Impact of node mobility on the DL based uplink and downlink MIMO-NOMA network","International Journal of Information Technology","","15","6","10.1007/s41870-023-01362-z","Ravi ShankarBhanu Pratap ChaudharyHaider MehrajSandeep GuptaFarrukh ArslanAjeet Kumar SrivastavaChiranjib Goswami","2023","http://link.springer.com/article/10.1007/s41870-023-01362-z","Article"
"Enhancing sentiment analysis in Hindi for E-commerce companies: a CNN-LSTM approach with CBoW and TF-IDF word embedding models","International Journal of Information Technology","","","","10.1007/s41870-023-01596-x","Vandana YadavParul VermaVinodini Katiyar","2023","http://link.springer.com/article/10.1007/s41870-023-01596-x","Article"
"A holistic approach to environmentally sustainable computing","Innovations in Systems and Software Engineering","","","","10.1007/s11334-023-00548-9","Andrea PazienzaGiovanni BaselliDaniele Carlo VinciMaria Vittoria Trussoni","2024","http://link.springer.com/article/10.1007/s11334-023-00548-9","Article"
"Normalized category travel personality by considering explicit and implicit feedback (NCTP): approach for improving travel recommender systems search result","International Journal of Information Technology","","15","7","10.1007/s41870-023-01403-7","Niranjan KumarBhagyashri R. Hanji","2023","http://link.springer.com/article/10.1007/s41870-023-01403-7","Article"
"Design of a data storage and retrieval ontology for the efficient integration of information in artificial intelligence systems","International Journal of Information Technology","","16","3","10.1007/s41870-023-01583-2","Serge Stephane AmanDjama Djoman Alfred AgboBehou Gerard N’guessanTiemoman Kone","2024","http://link.springer.com/article/10.1007/s41870-023-01583-2","Article"
"Deep learning-based personalized learning recommendation system design for 'T++' Guzheng Pedagogy","International Journal of Information Technology","","16","5","10.1007/s41870-024-01871-5","Xingyue Wang","2024","http://link.springer.com/article/10.1007/s41870-024-01871-5","Article"
"A novel cooperative collision avoidance system for vehicular communication based on deep learning","International Journal of Information Technology","","16","3","10.1007/s41870-023-01574-3","Wajdi FarhatOlfa Ben RhaiemHassene FaiedhChokri Souani","2024","http://link.springer.com/article/10.1007/s41870-023-01574-3","Article"
"Quickcent: a fast and frugal heuristic for harmonic centrality estimation on scale-free networks","Computing","","","","10.1007/s00607-024-01303-z","Francisco PlanaAndrés AbeliukJorge Pérez","2024","http://link.springer.com/article/10.1007/s00607-024-01303-z","Article"
"Enhanced hybrid multi-objective workflow scheduling approach based artificial bee colony in cloud computing","Computing","","105","1","10.1007/s00607-022-01116-y","Maha ZeedanGamal AttiyaNawal El-Fishawy","2023","http://link.springer.com/article/10.1007/s00607-022-01116-y","Article"
"Electricity-cost-aware multi-workflow scheduling in heterogeneous cloud","Computing","","106","6","10.1007/s00607-024-01264-3","Shuang WangYibing DuanYamin LeiPeng DuYamin Wang","2024","http://link.springer.com/article/10.1007/s00607-024-01264-3","Article"
"3PcGE: 3-parent child-based genetic evolution for software defect prediction","Innovations in Systems and Software Engineering","","19","2","10.1007/s11334-021-00427-1","Somya Goyal","2023","http://link.springer.com/article/10.1007/s11334-021-00427-1","Article"
"An IoT-enabled smart health care system for screening of COVID-19 with multi layers features fusion and selection","Computing","","105","4","10.1007/s00607-021-00992-0","Imran AhmedGwanggil JeonAbdellah Chehri","2023","http://link.springer.com/article/10.1007/s00607-021-00992-0","Article"
"Facebook and Tencent Data Fit a Cube Law Better than Metcalfe’s Law","Journal of Computer Science and Technology","","38","2","10.1007/s11390-022-2845-7","Xing-Zhou ZhangZhi-Wei Xu","2023","http://link.springer.com/article/10.1007/s11390-022-2845-7","Article"
"Hybrid Arithmetic-Rider Optimization algorithm as new intelligent model for travelling salesman problem","International Journal of Information Technology","","","","10.1007/s41870-024-01726-z","Madugula Murali KrishnaSantosh Kumar MajhiNibedan Panda","2024","http://link.springer.com/article/10.1007/s41870-024-01726-z","Article"
"An efficient approach for denoising EOG artifact through optimal wavelet selection","International Journal of Information Technology","","16","1","10.1007/s41870-023-01615-x","Vinod PrakashDharmender Kumar","2024","http://link.springer.com/article/10.1007/s41870-023-01615-x","Article"
"Bi-GAE: A Bidirectional Generative Auto-Encoder","Journal of Computer Science and Technology","","38","3","10.1007/s11390-023-1902-1","Qin HuaHan-Wen HuShi-You QianDing-Yu YangJian Cao","2023","http://link.springer.com/article/10.1007/s11390-023-1902-1","Article"
"IT2F-SEDNN: an interval type-2 fuzzy logic-based stacked ensemble deep learning approach for early phase software dependability analysis","Innovations in Systems and Software Engineering","","","","10.1007/s11334-024-00563-4","Subhashis ChatterjeeDeepjyoti Saha","2024","http://link.springer.com/article/10.1007/s11334-024-00563-4","Article"
"Detection of estuarine benthic macroinvertebrates communities using artificial neural network","International Journal of Information Technology","","16","2","10.1007/s41870-023-01554-7","Sharmin FatemaMd. Ashikur Rahman KhanFarida Siddiqi PrityM. Belal HossainMd. Sabbir EjazMd. Ahnaf Saad Khan","2024","http://link.springer.com/article/10.1007/s41870-023-01554-7","Article"
"A demarcation model for identifying fish potential zones in the Gulf of Mannar using remote sensing data","International Journal of Information Technology","","","","10.1007/s41870-024-01774-5","G. Wiselin Jiji","2024","http://link.springer.com/article/10.1007/s41870-024-01774-5","Article"
"Visual-based vehicle detection with adaptive oversampling","International Journal of Information Technology","","","","10.1007/s41870-024-01977-w","Chin Hong LimTee ConnieThian Song OngMichael Kah Ong Goh","2024","http://link.springer.com/article/10.1007/s41870-024-01977-w","Article"
"Machine learning for enterprise modeling assistance: an investigation of the potential and proof of concept","Software and Systems Modeling","","22","2","10.1007/s10270-022-01077-y","Nikolay ShilovWalaa OthmanMichael FellmannKurt Sandkuhl","2023","http://link.springer.com/article/10.1007/s10270-022-01077-y","Article"
"Early betel leaf disease detection using vision transformer and deep learning algorithms","International Journal of Information Technology","","16","1","10.1007/s41870-023-01647-3","S. KusumaK. R. Jothi","2024","http://link.springer.com/article/10.1007/s41870-023-01647-3","Article"
"Fuzzy ELECTRE multi-criteria decision-making technique for achieving reliable data dissemination in MANETs","International Journal of Information Technology","","15","4","10.1007/s41870-023-01251-5","S. M. Udhaya SankarR. PraveenN. Jagadish KumarS. Jagatheswari","2023","http://link.springer.com/article/10.1007/s41870-023-01251-5","Article"
"Interclass boundary preservation (IBP): a data reduction algorithm","International Journal of Information Technology","","15","5","10.1007/s41870-023-01275-x","Piyabute Fuangkhon","2023","http://link.springer.com/article/10.1007/s41870-023-01275-x","Article"
"Improving performance of recommendation systems using sentiment patterns of user","International Journal of Information Technology","","15","7","10.1007/s41870-023-01414-4","Chetan J. AwatiSuresh K. ShirgaveSandeep A. Thorat","2023","http://link.springer.com/article/10.1007/s41870-023-01414-4","Article"
"Quantifying influential nodes in complex networks using optimization and particle dynamics: a comparative study","Computing","","106","3","10.1007/s00607-023-01244-z","Edwin Montes-OrozcoRoman-Anselmo Mora-GutiérrezSergio-Gerardo de-los-Cobos-SilvaEric-Alfredo Rincón-GarcíaMiguel-Ángel Gutiérrez-AndradePedro Lara-Velázquez","2024","http://link.springer.com/article/10.1007/s00607-023-01244-z","Article"
