Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,
Real-Time Waveform-Diverse Pulse-Doppler Demo via Microwave Radar-in-a-Briefcase (MicRIB),J. Fraka; T. Higgins; J. Owen,"Radar Systems Lab (RSL), University of Kansas, Lawrence, KS; Radar Division, Naval Research Laboratory (NRL), Washington, D.C.; Radar Systems Lab (RSL), University of Kansas, Lawrence, KS",2024 IEEE Radar Conference (RadarConf24),13 Jun 2024,2024,,,1,6,"Recent advancements in software-defined technology provide the foundation for radar systems that have balanced size, weight, power, and cost (SWaP-C). Here, an Nvidia Jetson AGX Orin and an Ettus B200mini are connected to establish a real-time pulse-Doppler radar. Enclosing the system in a carry-on Pelican Case, the Microwave Radar-in-a-Briefcase (MicRIB) is a portable, low-cost test bench. The MicRIB is capable of arbitrary waveform transmission, data capture, and range-Doppler filtering in real-time while I/Q sampling at 61.4 MHz. Alternatively, the MicRIB may perform real-time spectrogram analysis at the same rate. Importantly, here “real-time” indicates that radar processing can be performed indefinitely without compounding latency. The MicRIB performance is experimentally evaluated in an open-air setting, performing moving target indication (MTI) processing (except for clutter cancellation). To demonstrate system flexibility, waveforms including linear FM, nonlinear FM, and random FM are assessed. Pulse compression is performed with either a matched filter or least squares mismatched filter, and a slow time Taylor window is applied prior to Doppler processing. With a stacked radar form factor of $\mathbf{4.4} \times \mathbf{4.4} \times \mathbf{3.1}$ inches and weight of 1.6 kg (excluding battery), the radar performs with an average power draw of 40 Watts and presently costs under $3600, excluding peripherals.",2375-5318,979-8-3503-2920-9,10.1109/RadarConf2458775.2024.10548690,Office of Naval Research(grant numbers:N00014-23-C-1053); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10548690,software defined radar;real-time implementation;waveform agility,Microwave measurement;Matched filters;Frequency modulation;Costs;Radar;Real-time systems;Doppler radar,,,,31,IEEE,13 Jun 2024,,,IEEE,IEEE Conferences,,
Two-Stream Prototype Learning Network for Few-Shot Face Recognition Under Occlusions,X. Yang; M. Han; Y. Luo; H. Hu; Y. Wen,"School of Computer Science, National Engineering Research Center for Multimedia Software, Wuhan University, and Hubei Luojia Laboratory, Wuhan, Hubei, China; School of Computer Science, National Engineering Research Center for Multimedia Software, Wuhan University, and Hubei Luojia Laboratory, Wuhan, Hubei, China; School of Computer Science, National Engineering Research Center for Multimedia Software, Wuhan University, and Hubei Luojia Laboratory, Wuhan, Hubei, China; School of Information and Electronics, Beijing Institute of Technology, Beijing, China; School of Computer Science and Engineering, Nanyang Technological University, Singapore",IEEE Transactions on Multimedia,8 May 2023,2023,25,,1555,1563,"Few-shot face recognition under occlusion (FSFRO) aims to recognize novel subjects given only a few, probably occluded face images, and it is challenging and common in real-world scenarios. Unknown occlusions may deteriorate the class prototypes, while an occluded image in the support set may be critical for recognition if the query image is occluded. This motivates us to propose a novel Two-stream Prototype Learning Network (TSPLN) for FSFR under occlusions by simultaneously considering the quality of support images and their relevance to the query image. Specifically, we design a two-stream architecture, which mainly consists of a support-centered stream and query-centered stream, to learn the optimal class prototypes. The former stream is to reduce the negative impact of occluded images on the prototype. This is achieved by exploring the similarities between different images in the support set. In the query-centered stream, we exploit the relevance between the query and support set based on feature alignment (FA). We conduct extensive experiments on two popular datasets: CASIA-WebFace and RMFRD. The experimental results show that our proposed method achieves the state-of-the-art performance for occluded face recognition in the few-shot setting.",1941-0077,,10.1109/TMM.2023.3253054,National Key Research and Development Program of China(grant numbers:2021YFC3300200); Special Fund of Hubei Luojia Laboratory(grant numbers:220100014); National Natural Science Foundation of China(grant numbers:62276195); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10059188,Face recognition under occlusions;few-shot learning;two-stream;feature alignment;similarity,Face recognition;Prototypes;Feature extraction;Task analysis;Image recognition;Training;Streaming media,,2,,53,IEEE,6 Mar 2023,,,IEEE,IEEE Journals,,
Diverse Utilization of an Anechoic Chamber for Automated Electronic Warfare (EW) Testing in Support of Explosive Ordnance Disposal (EOD),J. Friedel; D. Oyediran; T. Higdon,"EOD Electronic Protection Systems, Code D21, Maryland; EOD Electronic Protection Systems, Code D21, Maryland; EOD Electronic Protection Systems, Code D21, Maryland",2023 Antenna Measurement Techniques Association Symposium (AMTA),30 Oct 2023,2023,,,1,6,"The Naval Surface Warfare Center Indian Head Division (NSWC IHD) EOD Technology Center is a United States Navy facility with the urgent mission of supporting the Department of Defense (DoD) warfighter in the detection and neutralization of unexploded ordnance (UXO) and improvised explosive device (IED) threats. The Radio Frequency (RF) Laboratory at NSWC IHD, is centered around its 24’ by 12’ by 12’ anechoic chamber, which was designed mainly for antenna measurement. However, the unique challenges this department was tasked to resolve has resulted in varied and uncommon uses of the chamber. The chamber, RF test equipment and staff of electrical engineers, mechanical engineers and computer scientists, have participated in the automated RF testing of X-ray equipment, bomb suits, radars, electronic jammers and IEDs, to provide just a partial listing of test events. This paper will detail recent unique assignments that required the rapid research, design, development and implementation of automated RF test and measurement systems providing solutions for the EOD community. The anechoic chamber's system uses, from antenna design and measurements, materials testing, electromagnetic compatibility (EMC) testing to electronic warfare (EW) testing of radars and jammers, will be discussed along with the examination of the software algorithms that enabled fast, repeatable and reliable RF measurements. Focus will be on the roles electromagnetic (EM) measurement has for EOD robotics, EW system development and IED threat understanding. The authors speak from the diverse backgrounds of electrical and mechanical engineering and computer science.",2474-2740,978-1-7362351-5-7,10.23919/AMTA58553.2023.10293489,NSWC; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10293489,,Radio frequency;Antenna measurements;Radar antennas;Particle measurements;Electromagnetic compatibility;Explosives;Velocity measurement,,,,8,,30 Oct 2023,,,IEEE,IEEE Conferences,,
Sparrow: Flexible Memory Deduplication in Android Systems with Similar-Page Awareness,G. Wei; C. Li; R. Xu; Q. Zhuge; E. H. . -M. Sha,"School of Computer Science and Technology, East China Normal University; School of Computer Science and Technology, East China Normal University; School of Computer Science and Technology, East China Normal University; School of Computer Science and Technology, East China Normal University; School of Computer Science and Technology, East China Normal University","2024 Design, Automation & Test in Europe Conference & Exhibition (DATE)",10 Jun 2024,2024,,,1,6,"Mobile devices have become ubiquitous in daily life. In contrast to traditional servers, mobile devices suffer from limited memory resources, leading to a significant degradation in the user experience. This paper demonstrates that the primary cause of memory consumption lies in anonymous pages associated with application heaps. Existing schemes are ineffective in deduplicating these pages due to the limited occurrence of the same anonymous pages. This paper presents Sparrow, a similar-page aware deduplication solution for mobile systems. Sparrow shows that memory pages still have the potential to deduplicate, even though the same pages are rare. An interesting observation inspires this, that is, a high number of pages having the partially-same contents. We have implemented Sparrow on real-life smartphones. Experimental results indicate that 30.45% more space can be saved with Sparrow.",1558-1101,978-3-9819263-8-5,,NSFC(grant numbers:62302169); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10546588,Memory deduplication;Mobile system;Android,Degradation;Memory management;User experience;Mobile applications;Servers;Smart phones,,,,16,,10 Jun 2024,,,IEEE,IEEE Conferences,,
Development of Case Base Reasoning Recommendation and Sound and Lighting Rental System,C. A. Haryani; B. Liming; A. E. Widjaja; Hery,"Information Systems, Pelita Harapan University, Tangerang, Indonesia; Information Systems, Pelita Harapan University, Tangerang, Indonesia; Information Systems, Pelita Harapan University, Tangerang, Indonesia; Information Systems, Pelita Harapan University, Tangerang, Indonesia",2023 11th International Conference on Cyber and IT Service Management (CITSM),7 Mar 2024,2023,,,1,5,"This study discusses U-PRO Sound & Lighting, a rental company that requires a recording system for inventory, scheduling, and recommending product offerings. A recording is an essential aspect of the rental business. The absence of inventory records causes rental information to be inaccurate and makes internal control less effective. The causes of inventory loss, being left behind, and difficulty scheduling would be problems for the company. Furthermore, developing a quotation requires the owner to locate and open a similar quotation ahead of time to be utilized as a benchmark. Therefore, this research aims to design an integrated inventory and rental system and a recommendation system that help design quotations and control the rental inventory status in real-time. RAD is used as the system development methodology with the Prototyping method. The testing technique used is Black Box Testing. The case-based reasoning method with the similarity formula is applied to get recommendations for similar offer. These research results are a system of inventory, recommendations, and rentals in the form of a website. The inventory and rental system keep track of the items and conditions of all inventory held during and after the event. The inventory checking feature can be used to check inventory availability at a specific time and the recommendation system has been implemented to facilitate the owner in responding to rental requests.",2770-159X,979-8-3503-0596-8,10.1109/CITSM60085.2023.10455388,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10455388,recommendation;Case-Base reasoning;similarity;website;rental,Instruments;Flight recording;Lighting;Companies;Inventory control;Cognition;Real-time systems,,,,33,IEEE,7 Mar 2024,,,IEEE,IEEE Conferences,,
AR-Based Surgical Navigation System Based on Dual Plane Calibration and 2D/3D Registration,L. Yin; H. Fu; D. Yang; X. Fan; P. Tu; X. Chen,"Institute of Biomedical Manufacturing and Life Quality Engineering, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China; Institute of Biomedical Manufacturing and Life Quality Engineering, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China; Institute of Biomedical Manufacturing and Life Quality Engineering, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China; Institute of Biomedical Manufacturing and Life Quality Engineering, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China; Institute of Biomedical Manufacturing and Life Quality Engineering, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China; Institute of Biomedical Manufacturing and Life Quality Engineering, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China",2023 9th International Conference on Virtual Reality (ICVR),7 Jul 2023,2023,,,296,303,"Surgical procedures are often associated with a range of potential risks, including nerve tissue damage resulting from complex lesion structures, narrow surgical spaces, or the low accuracy of the operating surgeon. The rise of augmented reality technology has attracted wide attention in the field of complementary medicine. The safe and low delay augmented-reality assisted surgery system can effectively guide the accurate operation. At the same time, augmented reality technology can make surgical sites more intuitive. In this work, we propose a novel surgical operating system that leverages coordinate system transformation and optical navigation to improve precision and safety. Our approach involves the integration of medical images and optical tracking devices before and during surgery to achieve coordinate transformation between the patient’s position, surgical instruments, and the pre-surgery CT scan. This process involves calibration, registration, and other critical procedures. At the same time, the study also introduced the function of augmented reality. Doctors wearing augmented reality glasses can use the system to see more vivid scenes of surgery. During the calibration phase, we utilize biplanar and interpolation algorithms to obtain the conversion relationship between the C-arm emission source and the X-ray image coordinate system. In the registration stage, we convert the preoperative 3D CT into a DRR image using digital reconstruction image technology, which we then register with the 2D X-ray during the operation. To optimize the iteration, we employ the improved Powell algorithm. The algorithm demonstrates an average angle and position error of 0.62° and 0.56mm, respectively. Through the transformation of spatial position relationship, the transformation relationship between preoperative CT and intraoperative patient position was obtained. A user-friendly, integrated software system has been developed that allows users to view the relative relationship between surgical instruments and patient position in CT in real time during surgery. An augmented reality module has also been introduced, allowing operators to see specific surgical models in specific glasses. In this study, the establishment and model test of the algorithm were realized, thus providing auxiliary functions for high precision surgical operation.",2331-9569,979-8-3503-4581-0,10.1109/ICVR57957.2023.10169295,National Natural Science Foundation of China; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10169295,augmented reality;2D/3D registration;digitally reconstructed radiograph;similarity measurement;optical navigation;Bi-plane calibration method,Solid modeling;Three-dimensional displays;Computed tomography;Instruments;Software algorithms;Surgery;Medical services,,,,18,IEEE,7 Jul 2023,,,IEEE,IEEE Conferences,,
SecureCam: Selective Detection and Encryption Enabled Application for Dynamic Camera Surveillance Videos,I. Aribilola; M. N. Asghar; N. Kanwal; M. Fleury; B. Lee,"Software Research Institute, Technological University of the Shannon: Midlands Midwest (Athlone Campus), Athlone, Ireland; School of Computer Science, College of Science and Engineering, National University of Ireland, Galway, Ireland; Department of Computing and Mathematics, University of Keele, Keele, U.K.; School of Science, Technology, and Engineering, University of Suffolk, Ipswich, U.K.; Software Research Institute, Technological University of the Shannon: Midlands Midwest (Athlone Campus), Athlone, Ireland",IEEE Transactions on Consumer Electronics,24 Apr 2023,2023,69,2,156,169,"Using dynamic surveillance cameras for security has significantly increased the privacy concerns for captured individuals. Malicious users may misuse these videos by performing Replay and/or Man-in-the-Middle attacks during storage or recording over the network. Considering these risks, this paper proposes an effective security application SecureCam based on selective detection (focused moving objects) and protection using encryption. For object detection, this paper implements a novel low computational unsupervised learning algorithm, i.e., Motion-Fusion (MF) for more precise motion detection in the mobile camera videos. After that, selective encryption (SE) is applied by the lightweight Chacha20 cipher to the detected video parts. Proposed SecureCam is extensively evaluated based on performance analysis, security analysis and computational complexity. For object detection, the comparative evaluation shows that the MF algorithm outperforms traditional state-of-the-art dense optical flow (DOF) algorithm with an average (mean) difference increase: in the accuracy of 54%; and in the precision of 42% making it computationally effective for such videos. The visual results with 21% encryption space ratio (ESR) indicate that the videos are sufficiently protected against identification. Overall comparative evaluation with existing approaches also affirm the significance and utility of proposed SecureCam for Internet of Multimedia Things (IoMT) environment.",1558-4127,,10.1109/TCE.2022.3228679,"Presidential Doctoral Scheme (PDS) of the Technological University of the Shannon: Midlands Midwest (Athlone Campus), Ireland; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9983830,Chacha20;dense optical flow (DOF);encryption space ratio (ESR);Internet of Multimedia Things (IoMT);Manin-the-middle attack;Region-of-interest (ROI);replay attack;structural similarity index (SSIM),Videos;Cameras;Encryption;Motion segmentation;Object recognition;Surveillance;Internet of Things;Unsupervised learning,,10,,69,IEEE,13 Dec 2022,,,IEEE,IEEE Journals,,
GCMA: An Adaptive Multi-Agent Reinforcement Learning Framework With Group Communication for Complex and Similar Tasks Coordination,K. Peng; T. Ma; X. Yu; H. Rong; Y. Qian; N. Al-Nabhan,"School of Computer Science, Nanjing University of Information Science & Technology, Jiangsu, Nanjing, China; School of Software, Nanjing University of Information Science & Technology, Jiangsu, Nanjing, China; School of Software, Nanjing University of Information Science & Technology, Jiangsu, Nanjing, China; School of Artificial Intelligence, Nanjing University of Information Science & Technology, Jiangsu, Nanjing, China; Xinjiang University, Xinjiang, Urumqi, China; Department of Computer Science, King Saud University, Riyadh, Saudi Arabia",IEEE Transactions on Games,,2023,PP,99,1,13,"Coordinating multiple agents with diverse tasks and changing goals without interference is a challenge. Multi-Agent Reinforcement Learning (MARL) aims to develop effective communication and joint policies using group learning. Some of the previous approaches required each agent to maintain a set of networks independently, resulting in no consideration of interactions. Joint communication work causes agents receiving information unrelated to their own tasks. Currently, agents with different task divisions are often grouped by action tendency, but this can lead to poor dynamic grouping. This paper presents a two-phase solution for multiple agents, addressing these issues. The first phase develops heterogeneous agent communication joint policies using a Group Communication MARL framework (GCMA). The framework employs a periodic grouping strategy, reducing exploration and communication redundancy by dynamically assigning agent group hidden features through hyper-network and graph communication. The scheme efficiently utilizes resources for adapting to multiple similar tasks. In the second phase, each agent's policy network is distilled into a generalized simple network, adapting to similar tasks with varying quantities and sizes. GCMA is tested in complex environments like StarCraft II and UAV take-off, showing its well-performing for large-scale, coordinated tasks. It shows GCMA's effectiveness for solid generalization in multi-task tests with simulated pedestrians.",2475-1510,,10.1109/TG.2023.3346394,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10373072,Complex task policy;group communication;multi-tasks;multi-agent reinforcement learning,Task analysis;Training;Games;Reinforcement learning;Resource management;Redundancy;Graph neural networks,,,,,IEEE,25 Dec 2023,,,IEEE,IEEE Early Access Articles,,
Mailing Pigeon: A Comprehensive Platform for Matching Users Based on Intellectual Interests and Natural Language Processing *,G. Singh; V. Singh; S. Tate; S. Solan; D. Rane,"Computer Engineering, DYPCOE, Pune, Maharashtra, India; Computer Engineering, DYPCOE, Pune, Maharashtra, India; Computer Engineering, DYPCOE, Pune, Maharashtra, India; Computer Engineering, DYPCOE, Pune, Maharashtra, India; Computer Engineering, DYPCOE, Pune, Maharashtra, India","2023 7th International Conference On Computing, Communication, Control And Automation (ICCUBEA)",22 Jan 2024,2023,,,1,5,"Mailing Pigeon is an integrated software platform that connects users with similar intellectual interests and facilitates meaningful conversations. Using natural language processing (NLP) techniques and algorithms such as K-means clustering and Nearest Neighbours the platform analyses user profiles and messages to provide effective matching based on compatibility. Users can engage in discussions, improve their English proficiency, and gain insights into their writing patterns. Mailing Pigeon categorizes users' texting personalities and recommends matches using machine learning models and algorithms. By utilizing text similarity-based approaches like Cosine users can join communities and have conversations with like-minded individuals. The platform also allows users to analyze their profiles, including writing patterns and vocabulary, using algorithms like K-means, Nearest Neighbours, and the NLTK library. Mailing Pigeon aims to enhance social experiences and well-being by addressing the challenges of finding motivated communities in a vast online network. It provides a comprehensive solution for connecting individuals, fostering meaningful conversations, and promoting personal growth in language and communication skills.",2771-1358,979-8-3503-0426-8,10.1109/ICCUBEA58933.2023.10392040,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10392040,Mailing Pigeon;Natural language processing (NLP);Cosine similarity;NLTK (Natural Language Toolkit);K-means clustering;Nearest Neighbours;English proficiency;social networking;Personalized recommendations,Vocabulary;Machine learning algorithms;Clustering algorithms;Oral communication;Writing;Natural language processing;Testing,,,,10,IEEE,22 Jan 2024,,,IEEE,IEEE Conferences,,
Online Distributed Optimization with Efficient Communication via Temporal Similarity,J. Wang; B. Liang; M. Dong; G. Boudreau; A. Afana,"Department of Electrical and Computer Engineering, University of Toronto, Canada; Department of Electrical and Computer Engineering, University of Toronto, Canada; Department of Electrical, Computer and Software Engineering, Ontario Tech University, Canada; Ericsson Canada, Canada; Ericsson Canada, Canada",IEEE INFOCOM 2023 - IEEE Conference on Computer Communications,29 Aug 2023,2023,,,1,10,"We consider online distributed optimization in a networked system, where multiple devices assisted by a server collaboratively minimize the accumulation of a sequence of global loss functions that can vary over time. To reduce the amount of communication, the devices send quantized and compressed local decisions to the server, resulting in noisy global decisions. Therefore, there exists a tradeoff between the optimization performance and the communication overhead. Existing works separately optimize computation and communication. In contrast, we jointly consider computation and communication over time, by encouraging temporal similarity in the decision sequence to control the communication overhead. We propose an efficient algorithm, termed Online Distributed Optimization with Temporal Similarity (ODOTS), where the local decisions are both computation- and communication-aware. Furthermore, ODOTS uses a novel tunable virtual queue, which completely removes the commonly assumed Slater’s condition through a modified Lyapunov drift analysis. ODOTS delivers provable performance bounds on both the optimization objective and constraint violation. As an example application, we apply ODOTS to enable communication-efficient federated learning. Our experimental results based on real-world image classification demonstrate that ODOTS obtains higher classification accuracy and lower communication overhead compared with the current best alternatives for both convex and non-convex loss functions.",2641-9874,979-8-3503-3414-2,10.1109/INFOCOM53939.2023.10229086,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10229086,,Performance evaluation;Costs;Federated learning;Computational efficiency;Servers;Noise measurement;Optimization,,,,50,IEEE,29 Aug 2023,,,IEEE,IEEE Conferences,,
CenterDA: Center-Aware Unsupervised Domain Adaptation Regularized by Class Diversity for Distracted Driver Recognition,Y. Liu; S. Du; S. Zhao; Z. Tian; N. Zheng,"National Key Laboratory of Human-Machine Hybrid Augmented Intelligence, National Engineering Research Center for Visual Information and Applications, Institute of Artificial Intelligence and Robotics, Xi'an Jiaotong University, Xi'an, China; National Key Laboratory of Human-Machine Hybrid Augmented Intelligence, National Engineering Research Center for Visual Information and Applications, Institute of Artificial Intelligence and Robotics, Xi'an Jiaotong University, Xi'an, China; National Key Laboratory of Human-Machine Hybrid Augmented Intelligence, National Engineering Research Center for Visual Information and Applications, Institute of Artificial Intelligence and Robotics, Xi'an Jiaotong University, Xi'an, China; School of Software Engineering, Xi'an Jiaotong University, Xi'an, China; National Key Laboratory of Human-Machine Hybrid Augmented Intelligence, National Engineering Research Center for Visual Information and Applications, Institute of Artificial Intelligence and Robotics, Xi'an Jiaotong University, Xi'an, China",2023 IEEE 26th International Conference on Intelligent Transportation Systems (ITSC),13 Feb 2024,2023,,,1092,1097,"Unsupervised domain adaptation (UDA) suffers from misleading by misclassified samples when aligning the labeled source domain and the unlabeled target domain, which causes unreliable alignment and class overlap. In this paper, we propose a center-aware UDA algorithm for inter-domain alignment, along with class diversity regularization for target intra-domain separability. First, we align the class centers of the source and target domain by weighting the sample confidence to corresponding centers, to denoise the mislabeled samples. Second, we scatter the predictions of the target domain by minimizing the entropy of intra-class predictions and decreasing the similarity of inter-class distributions, which tackles the class overlap. The proposed method not only aligns the two domains but also increases the separability of the target domain, which results in improved target data classification performance. We validate the proposed method on behavior recognition and object recognition datasets, and the experimental results show that the method greatly alleviates the domain shift compared to the latest UDA methods. Code is available at: https://github.com/seizetheday00/Center-Aware-DA.",2153-0017,979-8-3503-9946-2,10.1109/ITSC57777.2023.10422204,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10422204,,Codes;Prototypes;Prediction algorithms;Entropy;Robustness;Object recognition;Intelligent transportation systems,,,,19,IEEE,13 Feb 2024,,,IEEE,IEEE Conferences,,
A Heap Manipulation Diversity Fuzzing Method for Spatial Heap Vulnerabilities Exploitation,R. Li; B. Zhang; T. Wang; C. Tang,"College of Electronic Science and Technology, National University of Defense Technology, Changsha, China; College of Electronic Science and Technology, National University of Defense Technology, Changsha, China; Defense Innovation Institute, Academy of Military Sciences, Beijing, China; College of Electronic Science and Technology, National University of Defense Technology, Changsha, China",2023 8th International Conference on Intelligent Computing and Signal Processing (ICSP),19 Sep 2023,2023,,,200,204,"Spatial heap vulnerabilities represent a significant aspect of memory corruptions, bringing serious threats to software security. To automatically exploit a spatial heap vulnerability, heap manipulation is required, which entails placing a victim object into target memory area to achieve control flow hijacking. Traditional fuzzers, which primarily rely on code coverage as a metric, are inadequate for discovering diverse exploitable heap states. In this paper, we propose a novel fuzzing technique that utilizes heap manipulation diversity as principle to explore various exploitable heap states. We implemented our prototype, HMFuzz, and the evaluation shows that it effectively transforms a Proof of Concept (PoC) into multiple exploitable PoCs. In our tests involving 6 bugs across 3 general-purpose programs, HMFuzz discovered an average of 35.3 exploitable PoCs per bug, thereby promoting further automatic exploit generation.",,979-8-3503-0245-5,10.1109/ICSP58490.2023.10248640,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10248640,automatic exploit generation;heap manipulation;fuzz,Measurement;Computer bugs;Memory management;Layout;Prototypes;Transforms;Fuzzing,,,,9,IEEE,19 Sep 2023,,,IEEE,IEEE Conferences,,
Ultra-Miniaturized Implantable Antenna Enabling Multiband Operation for Diverse Industrial IoMT Devices,S. A. A. Shah; I. A. Shah; S. Hayat; H. Yoo,"Department of Electronic Engineering, Hanyang University, Seoul, South Korea; Department of Electronic Engineering, Hanyang University, Seoul, South Korea; Department of Electronic Engineering, Hanyang University, Seoul, South Korea; Department of Biomedical Engineering and the Department of Electronic Engineering, Hanyang University, Seoul, South Korea",IEEE Transactions on Antennas and Propagation,14 Feb 2024,2024,72,2,1352,1362,"Compact implantable medical devices (IMDs) require miniaturized and multiband antennas to efficiently navigate space limitations and diverse frequency demands in biomedical applications. This article proposes an ultra-miniaturized implantable antenna featuring the smallest footprint with a volume of 0.7 mm3 and exhibits quad-band characteristics: telemetry at 915 MHz, wireless power transfer at midfield bands of 1450 and 1900 MHz, and control signaling at 2450 MHz. Extensive simulation analyses were conducted for the antenna alone and integrated antenna systems to realize the versatility of the proposed antenna. For validation, measurements were performed in saline-filled realistic head and American Society for Testing and Materials (ASTMs) phantoms. Good agreement between the simulation and measured results was observed. The antenna showed stable performance in all scenarios with a measured −10 dB bandwidth of 136, 122, 108, and 134 MHz at 915, 1450, 1900, and 2450 MHz, respectively. Moreover, the antenna exhibited satisfactory measured gain values of −27.45, −23.25, −23.14, and −22.48 dBi at the respective frequency bands. Finally, the implementation of the wireless biotelemetry feature of the proposed antenna system was achieved and demonstrated through the utilization of a pair of software-defined radios (SDRs). Sustainable and stable wireless data transmission characteristics were shown at transmission distances of up to 2.5 m. With its remarkable features, the proposed antenna addresses the critical need for efficient communication in the Industrial Internet of Medical Things (IIoMT) devices, enabling telemetry, wireless power transfer, and control signaling in biomedical applications with limited space and diverse frequency demands.",1558-2221,,10.1109/TAP.2024.3349782,Institute of Information and Communications Technology Planning and Evaluation (IITP) Grant; Korean Government Ministry of Science and ICT (MIST)(grant numbers:2022-0-00310); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10388247,Implantable medical devices (IMDs);Internet of Medical Things (IoMT);midfield;miniaturization;specific absorption rate (SAR);wireless communication,Antennas;Antenna measurements;Performance evaluation;Wireless communication;Medical services;Biomedical measurement;Medical devices,,,,37,IEEE,10 Jan 2024,,,IEEE,IEEE Journals,,
Characterization of I/O Behaviors in Cloud Storage Workloads,Q. Zou; Y. Zhu; J. Chen; Y. Deng; X. Qin,"Department of Computer Science, Southwest University, Chongqing, China; Department of Electrical and Computer Engineering, University of Maine, Orono, ME, USA; Wuhan National Laboratory for Optoelectronics, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Department of Computer Science, Jinan University, Guangzhou, China; Department of Computer Science and Software Engineering, Auburn University, Auburn, AL, USA",IEEE Transactions on Computers,7 Sep 2023,2023,72,10,2726,2739,"As cloud platforms become increasingly popular, accurately understanding I/O behaviors in modern cloud storage is of paramount importance for system design and optimization. This paper sheds new light on the correlation of inter-arrival times of both read and write requests at the block level in four representative cloud storage workloads – AliCloud, Systor’17, MSRC and FIU. Our study reveals that I/O arrivals at the block level are very complex in modern cloud storage. There is a certain degree of correlation in the long-term timescale for request arrival intervals in AliCloud and Systor’17_read. Request arrival intervals in MSRC, FIU and Systor’17_write, however, are almost uncorrelated. The Gaussianity test confirms that I/O burstiness appears to be Gaussian in AliCloud_write and Systor’17_read, but the burstiness is non-Gaussian in other workloads. Importantly, we unfold the existence of self-similarity in cloud storage workloads with a certain degree of correlations, via visual evidence, the autocorrelation structure of the aggregated process of I/O request sequences, and Hurst parameter estimates. We further design an alpha-stable workload model for synthetic I/O generation, and the experimental results demonstrate that our model has an edge over conventional models in terms of accurately emulating I/O burstiness.",1557-9956,,10.1109/TC.2023.3263726,"National Natural Science Foundation of China(grant numbers:62072214); Key Laboratory of Ministry of Industry and Information Technology for Basic Software and Hardware Performance and Reliability Measurement(grant numbers:HK202201317); Basic and Applied Basic Research Foundation of Guangdong Province(grant numbers:2021B1515120048); National Science Foundation(grant numbers:IIS-1618669,OAC-1642133); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10089497,Aggregated process;cloud block storage;inter-arrival time;self-similar;synthesis;workload characterization,Cloud computing;Behavioral sciences;Generators;Computer science;Visualization;Optimization;Laboratories,,1,,42,IEEE,31 Mar 2023,,,IEEE,IEEE Journals,,
